"age","year","num"
0,1989,47669
0,1990,51142
0,1991,49114
0,1992,49402
0,1993,50225
0,1994,49554
0,1995,48635
0,1996,48577
0,1997,47333
0,1998,43664
0,1999,43336
0,2000,46997
0,2001,41451
0,2002,40760
0,2003,37485
0,2004,37174
0,2005,37492
0,2006,38317
0,2007,39490
0,2008,39826
0,2009,39570
0,2010,37967
0,2011,39654
0,2012,42663
